tail.node	head.node	capacity..veh.h.	length..miles.	fftt.min.	Power	B	speed.limit..mph.
N1209330272	N171946	9999	5.79	0.4168466522678186	0.15	4	13.89
N1209330272	N3280496563	9999	7.61	0.5478761699064075	0.15	4	13.89
N1209330640	N1209330272	9999	103.07	7.420446364290856	0.15	4	13.89
N1209330887	N1209332387	9999	82.52	5.940964722822174	0.15	4	13.89
N1209332387	N1854720781	9999	32.33	2.327573794096472	0.15	4	13.89
N1278838932	N345538475	9999	103.32	7.4384449244060455	0.15	4	13.89
N1278838937	N26513072	9999	16.27	1.1713462922966162	0.15	4	13.89
N1278838975	N365886564	9999	13.23	0.9524838012958964	0.15	4	13.89
N1278838976	N1915012227	9999	103.43	7.4463642908567325	0.15	4	13.89
N1278838994	N25901951	9999	10.92	0.7861771058315334	0.15	4	13.89
N1278839005	N1555729961	9999	3.8	0.2735781137508999	0.15	4	13.89
N1278839005	N25552446	9999	91.34	6.575953923686105	0.15	4	13.89
N1278839019	N3428425011	9999	37.8	2.7213822894168462	0.15	4	13.89
N1278839025	N26513072	9999	9.22	0.6637868970482361	0.15	4	13.89
N1278839038	N25901951	9999	3.2	0.23038156947444205	0.15	4	13.89
N1278839042	N2827804125	9999	144.62	10.411807055435565	0.15	4	13.89
N1278839084	N365886564	9999	9.02	0.6493880489560835	0.15	4	13.89
N1278839092	N25901938	9999	17.71	1.2750179985601149	0.15	4	13.89
N1278839131	N25901948	9999	9.28	0.6681065514758818	0.15	4	13.89
N1278839146	N25552447	9999	13.33	0.9596832253419726	0.15	4	13.89
N1505184312	N1505184313	9999	79.6	5.730741540676745	0.15	4	13.89
N1505184312	N2383701846	9999	13.8	0.9935205183585312	0.15	4	13.89
N1505184313	N1505184312	9999	79.6	5.730741540676745	0.15	4	13.89
N1505184313	N2383701848	9999	12.05	0.8675305975521959	0.15	4	13.89
N1505184314	N2383701847	9999	96.55	6.9510439164866815	0.15	4	13.89
N1505184314	N2383701848	9999	14.32	1.030957523398128	0.15	4	13.89
N1505184315	N2383701848	9999	23.36	1.6817854571634268	0.15	4	13.89
N1505184316	N1505184318	9999	61.36	4.417566594672426	0.15	4	13.89
N1505184316	N2383701848	9999	4.6	0.3311735061195104	0.15	4	13.89
N1505184318	N1505184316	9999	61.59	4.434125269978402	0.15	4	13.89
N1505184318	N29484171	9999	10.83	0.7796976241900647	0.15	4	13.89
