,edge_id,lane_id,lane_index,lane_length,lane_shape,lane_speed
0,13/3to14/3,13/3to14/3_2,2,127.30,"1991.35,478.35 2118.65,478.35",13.90
1,2/5to2/4,2/5to2/4_2,2,127.30,"328.35,768.65 328.35,641.35",13.90
2,2/5to2/6,2/5to2/6_2,2,127.30,"331.65,791.35 331.65,918.65",13.90
3,:9/15_0,:9/15_0_0,0,5.00,"1371.75,2291.35 1371.56,2289.99 1370.97,2289.03 1370.01,2288.44 1368.65,2288.25",13.90
4,:9/15_1,:9/15_1_2,2,22.70,"1378.35,2291.35 1378.35,2284.61 1378.35,2280.00 1378.35,2275.39 1378.35,2268.65",13.90
5,:9/15_6,:9/15_6_0,0,5.00,"1391.35,2288.25 1389.99,2288.44 1389.03,2289.03 1388.44,2289.99 1388.25,2291.35",13.90
6,:9/15_7,:9/15_7_0,0,22.70,"1391.35,2284.95 1384.61,2284.95 1380.00,2284.95 1375.39,2284.95 1368.65,2284.95",13.90
7,:9/15_4,:9/15_4_0,0,7.47,"1378.35,2291.35 1379.16,2285.66 1380.05,2284.18",13.90
8,:9/15_5,:9/15_5_0,0,2.41,"1378.35,2291.35 1379.18,2290.11 1380.00,2289.70",13.90
9,:9/15_8,:9/15_8_0,0,20.97,"1391.35,2281.65 1385.66,2280.84 1381.60,2278.40 1379.16,2274.34 1378.35,2268.65",13.90
10,:9/15_9,:9/15_9_0,0,4.82,"1391.35,2281.65 1390.11,2280.83 1389.70,2280.00 1390.11,2279.17 1391.35,2278.35",13.90
11,:12/14_16,:12/14_16_0,0,5.00,"1818.65,2121.75 1820.01,2121.56 1820.97,2120.97 1821.56,2120.01 1821.75,2118.65",13.90
12,:12/14_17,:12/14_17_0,0,22.70,"1818.65,2125.05 1825.39,2125.05 1830.00,2125.05 1834.61,2125.05 1841.35,2125.05",13.90
13,:12/14_14,:12/14_14_0,0,7.47,"1831.65,2118.65 1830.84,2124.34 1829.95,2125.82",13.90
14,:12/14_15,:12/14_15_0,0,2.41,"1831.65,2118.65 1830.83,2119.89 1830.00,2120.30",13.90
15,:12/14_10,:12/14_10_0,0,5.00,"1838.25,2118.65 1838.44,2120.01 1839.03,2120.97 1839.99,2121.56 1841.35,2121.75",13.90
16,:12/14_11,:12/14_11_2,2,22.70,"1831.65,2118.65 1831.65,2125.39 1831.65,2130.00 1831.65,2134.61 1831.65,2141.35",13.90
17,:12/14_18,:12/14_18_0,0,20.97,"1818.65,2128.35 1824.34,2129.16 1828.40,2131.60 1830.84,2135.66 1831.65,2141.35",13.90
18,:12/14_19,:12/14_19_0,0,4.82,"1818.65,2128.35 1819.89,2129.17 1820.30,2130.00 1819.89,2130.83 1818.65,2131.65",13.90
19,:11/6_9,:11/6_9_0,0,4.82,"1691.35,931.65 1690.11,930.83 1689.70,930.00 1690.11,929.17 1691.35,928.35",13.90
20,:11/6_8,:11/6_8_0,0,20.97,"1691.35,931.65 1685.66,930.84 1681.60,928.40 1679.16,924.34 1678.35,918.65",13.90
21,:11/10_20,:11/10_20_0,0,13.50,"1680.05,1534.18 1681.60,1531.60 1685.66,1529.16 1691.35,1528.35",13.90
22,:11/10_21,:11/10_21_0,0,2.41,"1680.00,1539.70 1680.83,1540.11 1681.65,1541.35",13.90
23,:11/10_22,:11/10_22_0,0,13.50,"1679.95,1525.82 1678.40,1528.40 1674.34,1530.84 1668.65,1531.65",13.90
