,edge_id,lane_id,lane_index,lane_length,lane_shape,lane_speed
0,:0/0_0,:0/0_0_0,0,5.00,"21.75,41.35 21.56,39.99 20.98,39.03 20.01,38.44 18.65,38.25",13.90
1,:0/0_1,:0/0_1_0,0,22.70,"21.75,41.35 21.75,34.61 21.75,30.00 21.75,25.39 21.75,18.65",13.90
2,:0/0_1,:0/0_1_1,1,22.70,"25.05,41.35 25.05,34.61 25.05,30.00 25.05,25.39 25.05,18.65",13.90
3,:0/0_1,:0/0_1_2,2,22.70,"28.35,41.35 28.35,34.61 28.35,30.00 28.35,25.39 28.35,18.65",13.90
4,:0/0_4,:0/0_4_0,0,7.47,"28.35,41.35 29.16,35.66 30.05,34.18",13.90
5,:0/0_5,:0/0_5_0,0,2.41,"28.35,41.35 29.17,40.11 30.00,39.70",13.90
6,:0/0_20,:0/0_20_0,0,13.50,"30.05,34.18 31.60,31.60 35.66,29.16 41.35,28.35",13.90
7,:0/0_21,:0/0_21_0,0,2.41,"30.00,39.70 30.82,40.11 31.65,41.35",13.90
8,:0/0_6,:0/0_6_0,0,5.00,"41.35,38.25 39.99,38.44 39.02,39.02 38.44,39.99 38.25,41.35",13.90
9,:0/0_7,:0/0_7_0,0,22.70,"41.35,34.95 34.61,34.95 30.00,34.95 25.39,34.95 18.65,34.95",13.90
10,:0/0_8,:0/0_8_0,0,20.97,"41.35,31.65 35.66,30.84 31.60,28.40 29.16,24.34 28.35,18.65",13.90
11,:0/0_9,:0/0_9_0,0,4.82,"41.35,31.65 40.11,30.82 39.70,30.00 40.11,29.18 41.35,28.35",13.90
12,:0/0_10,:0/0_10_0,0,5.00,"38.25,18.65 38.44,20.01 39.02,20.98 39.99,21.56 41.35,21.75",13.90
13,:0/0_11,:0/0_11_0,0,22.70,"38.25,18.65 38.25,25.39 38.25,30.00 38.25,34.61 38.25,41.35",13.90
14,:0/0_11,:0/0_11_1,1,22.70,"34.95,18.65 34.95,25.39 34.95,30.00 34.95,34.61 34.95,41.35",13.90
15,:0/0_11,:0/0_11_2,2,22.70,"31.65,18.65 31.65,25.39 31.65,30.00 31.65,34.61 31.65,41.35",13.90
16,:0/0_14,:0/0_14_0,0,7.47,"31.65,18.65 30.84,24.34 29.95,25.82",13.90
17,:0/0_15,:0/0_15_0,0,2.41,"31.65,18.65 30.82,19.89 30.00,20.30",13.90
18,:0/0_22,:0/0_22_0,0,13.50,"29.95,25.82 28.40,28.40 24.34,30.84 18.65,31.65",13.90
19,:0/0_23,:0/0_23_0,0,2.41,"30.00,20.30 29.18,19.89 28.35,18.65",13.90
20,:0/0_16,:0/0_16_0,0,5.00,"18.65,21.75 20.01,21.56 20.98,20.98 21.56,20.01 21.75,18.65",13.90
21,:0/0_17,:0/0_17_0,0,22.70,"18.65,25.05 25.39,25.05 30.00,25.05 34.61,25.05 41.35,25.05",13.90
22,:0/0_18,:0/0_18_0,0,20.97,"18.65,28.35 24.34,29.16 28.40,31.60 30.84,35.66 31.65,41.35",13.90
23,:0/0_19,:0/0_19_0,0,4.82,"18.65,28.35 19.89,29.17 20.30,30.00 19.89,30.82 18.65,31.65",13.90
24,:0/1_0,:0/1_0_0,0,5.00,"21.75,191.35 21.56,189.99 20.98,189.03 20.01,188.44 18.65,188.25",13.90
