ID,FILE,GROUP/OBJECTIVE,LABEL,SPECIAL FEATURE,TWM,NET,LANES,LOGIT,DEMAND,TRAFFIC,ROUTE_ALGO,TELEPORTING,TWM_FUNC,TWM_SIZE,EXPNUM,PAPERS,COMMENTS
1,grid16_noBastra_nomaps_fulltraffic_161114_125258,"GRID16 1 lane, sin TMW y con TWM (1 mapa)",Grid16()   :  -  -   ,, : ,Grid16,1, ,, - ,Dijkstra,NO,,,,,
2,grid16_Bastra_rand05x1_timeALL_fulltraffic_logit05_161114_131513,"GRID16 1 lane, sin TMW y con TWM (1 mapa)",Grid16() 1 TWM - normal(05) - logit05 ,,TWM,Grid16,1,logit05,,fulltraffic,Dijkstra,NO,normal(05),1,,,
3,XL2_grid16_Bastra_rand05x8_timeALL_fulltraffic_logit50_161114_190405,"GRID16 2 lanes, sin TMW y con TWM (8 mapas)",Grid16(XL2) 8 TWM - normal(05) - logit50 ,,TWM,Grid16,2,logit50,XL2,fulltraffic,Dijkstra,NO,normal(05),8,,,
4,XL2_grid16_Bastra_rand05x8_timeALL_fulltraffic_logit100_161114_183734,"GRID16 2 lanes, sin TMW y con TWM (8 mapas)",Grid16(XL2) 8 TWM - normal(05) - logit100 ,,TWM,Grid16,2,logit100,XL2,fulltraffic,Dijkstra,NO,normal(05),8,,,
5,S_grid16_noBastra_reference_fulltraffic_161114_115215,GRID16 con TWM-8 normal,Grid16(S)  No TWM -  -  ,,No TWM,Grid16,1,,S,fulltraffic,Dijkstra,NO,,,,,
6,S_grid16_Bastra_rand05x8_timeALL_fulltraffic_logit50_161114_114837,GRID16 con TWM-8 normal,Grid16(S) 8 TWM - normal(05) - logit50 ,,TWM,Grid16,1,logit50,S,fulltraffic,Dijkstra,NO,normal(05),8,,,
7,grid16_noBastra_nomaps_fulltraffic_161114_125258,"GRID16 - Efecto trafico M con 1 mapa, 1 o 2 lanes",Grid16()  No TWM -  -  ,,No TWM,Grid16,1,,,fulltraffic,Dijkstra,NO,,,,,
8,grid16_Bastra_rand05x1_timeALL_fulltraffic_logit05_161114_131513,"GRID16 - Efecto trafico M con 1 mapa, 1 o 2 lanes",Grid16() 1 TWM - normal(05) - logit05 ,,TWM,Grid16,1,logit05,,fulltraffic,Dijkstra,NO,normal(05),1,,,
9,XL2_grid16_Bastra_rand05x8_timeALL_fulltraffic_logit50_161114_190405,"GRID16 - Efecto trafico M con 1 mapa, 1 o 2 lanes",Grid16(XL2) 8 TWM - normal(05) - logit50 ,,TWM,Grid16,2,logit50,XL2,fulltraffic,Dijkstra,NO,normal(05),8,,,
10,XL2_grid16_Bastra_rand05x8_timeALL_fulltraffic_logit100_161114_183734,"GRID16 - Efecto trafico M con 1 mapa, 1 o 2 lanes",Grid16(XL2) 8 TWM - normal(05) - logit100 ,,TWM,Grid16,2,logit100,XL2,fulltraffic,Dijkstra,NO,normal(05),8,,,
11,S_grid16_noBastra_reference_fulltraffic_161114_115215,GRID16 - efecto trafico S - con 8 mapas,Grid16(S)  No TWM -  -  ,,No TWM,Grid16,1,,S,fulltraffic,Dijkstra,NO,,,,,
12,S_grid16_Bastra_rand05x8_timeALL_fulltraffic_logit50_161114_114837,GRID16 - efecto trafico S - con 8 mapas,Grid16(S) 8 TWM - normal(05) - logit50 ,,TWM,Grid16,1,logit50,S,fulltraffic,Dijkstra,NO,normal(05),8,,,
13,S_grid16_Bastra_rand05x8_timeALL_fulltraffic_logit100_161114_114102,GRID16 - efecto trafico S - con 8 mapas,Grid16(S) 8 TWM - normal(05) - logit100 ,,TWM,Grid16,1,logit100,S,fulltraffic,Dijkstra,NO,normal(05),8,,,
14,S_grid16_noBastra_reference_fulltraffic_161114_115215,GRID16 - efecto trafico S - con 8 mapas,Grid16(S)  No TWM -  -  ,,No TWM,Grid16,1,,S,fulltraffic,Dijkstra,NO,,,,,
15,S_grid16_Bastra_rand05x8_timeALL_fulltraffic_logit100_161114_194134,GRID16 - efecto trafico S - con 8 mapas,Grid16(S) 8 TWM - normal(05) - logit100 ,,TWM,Grid16,1,logit100,S,fulltraffic,Dijkstra,NO,normal(05),8,,,
20,XS_grid16_noBastra_reference_fulltraffic_170130_225044,GRID16 - XS - Efecto mapas normal 05x8,Grid16(XS)  No TWM -  -  ,,No TWM,Grid16,1,,XS,fulltraffic,Dijkstra,NO,,,,,
21,XS_grid16_Bastra_rand05x8_timeALL_fulltraffic_logit10_161115_092404,GRID16 - XS - Efecto mapas normal 05x8,Grid16(XS) 8 TWM - normal(05) - logit10 ,,TWM,Grid16,1,logit10,XS,fulltraffic,Dijkstra,NO,normal(05),8,,,
22,XS_grid16_Bastra_rand05x8_timeALL_fulltraffic_logit50_170130_225435,GRID16 - XS - Efecto mapas normal 05x8,Grid16(XS) 8 TWM - normal(05) - logit50 ,,TWM,Grid16,1,logit50,XS,fulltraffic,Dijkstra,NO,normal(05),8,,,
23,XS_grid16_Bastra_rand05x8_timeALL_fulltraffic_logit05_161115_092039,GRID16 - XS - Efecto mapas normal 05x8,Grid16(XS) 8 TWM - normal(05) - logit05 ,,TWM,Grid16,1,logit05,XS,fulltraffic,Dijkstra,NO,normal(05),8,,,
24,XS_grid16_Bastra_rand05x8_timeALL_fulltraffic_logit10_161115_092404,GRID16 - XS - Efecto mapas normal 05x8,Grid16(XS) 8 TWM - normal(05) - logit10 ,,TWM,Grid16,1,logit10,XS,fulltraffic,Dijkstra,NO,normal(05),8,,,
25,XS_grid16_Bastra_rand05x8_timeALL_fulltraffic_logit20_161115_092738,GRID16 - XS - Efecto mapas normal 05x8,Grid16(XS) 8 TWM - normal(05) - logit20 ,,TWM,Grid16,1,logit20,XS,fulltraffic,Dijkstra,NO,normal(05),8,,,
26,XS_grid16_Bastra_rand05x8_timeALL_fulltraffic_logit50_161115_093115,GRID16 - XS - Efecto mapas normal 05x8,Grid16(XS) 8 TWM - normal(05) - logit50 ,,TWM,Grid16,1,logit50,XS,fulltraffic,Dijkstra,NO,normal(05),8,,,
27,XS_grid16_Bastra_rand05x8_timeALL_fulltraffic_logit100_161115_093432,GRID16 - XS - Efecto mapas normal 05x8,Grid16(XS) 8 TWM - normal(05) - logit100 ,,TWM,Grid16,1,logit100,XS,fulltraffic,Dijkstra,NO,normal(05),8,,,
30,XL2_grid16_noBastra_reference_fulltraffic_161115_092630,GRID16 - Efecto 2 lanes en diferentes configuracion,Grid16(XL2)  No TWM -  -  ,,No TWM,Grid16,2,,XL2,fulltraffic,Dijkstra,NO,,,,,
31,XL2_grid16_Bastra_rand05x8_timeALL_fulltraffic_logit50_161115_093151,GRID16 - Efecto 2 lanes en diferentes configuracion,Grid16(XL2) 8 TWM - normal(05) - logit50 ,,TWM,Grid16,2,logit50,XL2,fulltraffic,Dijkstra,NO,normal(05),8,,,
32,XL2_grid16_Bastra_rand05x8_timeALL_fulltraffic_logit100_161115_093621,GRID16 - Efecto 2 lanes en diferentes configuracion,Grid16(XL2) 8 TWM - normal(05) - logit100 ,,TWM,Grid16,2,logit100,XL2,fulltraffic,Dijkstra,NO,normal(05),8,,,
33,grid16_noBastra_reference_fulltraffic_161115_164807,GRID16 - Efecto 2 lanes en diferentes configuracion,Grid16()  No TWM -  -  ,,No TWM,Grid16,2,,,fulltraffic,Dijkstra,NO,,,,,
34,XL2_grid16_noBastra_reference_fulltraffic_161115_132611,GRID16 - Efecto 2 lanes en diferentes configuracion,Grid16(XL2)  No TWM -  -  ,,No TWM,Grid16,2,,XL2,fulltraffic,Dijkstra,NO,,,,,
35,XL2_grid16_Bastra_rand05x8_timeALL_fulltraffic_logit50_161115_133434,GRID16 - Efecto 2 lanes en diferentes configuracion,Grid16(XL2) 8 TWM - normal(05) - logit50 ,,TWM,Grid16,2,logit50,XL2,fulltraffic,Dijkstra,NO,normal(05),8,,,
36,XL2_grid16_Bastra_rand05x8_timeALL_fulltraffic_logit100_161115_134312,GRID16 - Efecto 2 lanes en diferentes configuracion,Grid16(XL2) 8 TWM - normal(05) - logit100 ,,TWM,Grid16,2,logit100,XL2,fulltraffic,Dijkstra,NO,normal(05),8,,,
37,grid16_M_noTWM_reference_fulltraffic_190314_003326,GRID16 - Efecto 2 lanes en diferentes configuracion,Grid16(M)  No TWM -  -  ,,No TWM,Grid16,2,,M,fulltraffic,Dijkstra,NO,,,,,
38,grid16_M_noTWM_reference_2lanes_fulltraffic_190314_003712,GRID16 - Efecto 2 lanes en diferentes configuracion,Grid16(M)  No TWM -  -  ,,No TWM,Grid16,2,,M,fulltraffic,Dijkstra,NO,,,,,
