index;BIN;PROB
0;1,000;0,000
1;2,000;0,001
2;3,000;0,001
3;4,000;0,002
4;5,000;0,002
5;6,000;0,003
6;7,000;0,003
7;8,000;0,004
8;9,000;0,005
9;10,000;0,006
10;11,000;0,007
11;12,000;0,008
12;13,000;0,008
13;14,000;0,009
14;15,000;0,009
15;16,000;0,010
16;17,000;0,010
17;18,000;0,011
18;19,000;0,012
19;20,000;0,012
20;21,000;0,013
21;22,000;0,014
22;23,000;0,015
23;24,000;0,016
24;25,000;0,017
25;26,000;0,017
26;27,000;0,018
27;28,000;0,019
28;29,000;0,020
29;30,000;0,021
30;31,000;0,023
31;32,000;0,023
32;33,000;0,024
33;34,000;0,025
34;35,000;0,026
35;36,000;0,027
36;37,000;0,028
37;38,000;0,029
38;39,000;0,030
39;40,000;0,031
40;41,000;0,032
41;42,000;0,033
42;43,000;0,034
43;44,000;0,035
44;45,000;0,036
45;46,000;0,037
46;47,000;0,038
47;48,000;0,040
48;49,000;0,041
49;50,000;0,042
50;51,000;0,043
51;52,000;0,045
52;53,000;0,047
53;54,000;0,048
54;55,000;0,049
55;56,000;0,051
56;57,000;0,053
57;58,000;0,054
58;59,000;0,057
59;60,000;0,059
60;61,000;0,060
61;62,000;0,062
62;63,000;0,064
63;64,000;0,066
64;65,000;0,068
65;66,000;0,070
66;67,000;0,072
67;68,000;0,075
68;69,000;0,077
69;70,000;0,080
70;71,000;0,082
71;72,000;0,085
72;73,000;0,088
73;74,000;0,092
74;75,000;0,095
75;76,000;0,098
76;77,000;0,101
77;78,000;0,105
78;79,000;0,109
79;80,000;0,113
80;81,000;0,117
81;82,000;0,123
82;83,000;0,128
83;84,000;0,133
84;85,000;0,139
85;86,000;0,146
86;87,000;0,153
87;88,000;0,160
88;89,000;0,168
89;90,000;0,175
90;91,000;0,184
91;92,000;0,195
92;93,000;0,206
93;94,000;0,220
94;95,000;0,233
95;96,000;0,250
96;97,000;0,271
97;98,000;0,299
98;99,000;0,335
99;100,000;0,382
100;101,000;0,421
101;102,000;0,457
102;103,000;0,500
103;104,000;0,520
104;105,000;0,537
105;106,000;0,558
106;107,000;0,573
107;108,000;0,587
108;109,000;0,602
109;110,000;0,612
110;111,000;0,623
111;112,000;0,634
112;113,000;0,644
113;114,000;0,655
114;115,000;0,665
115;116,000;0,675
116;117,000;0,687
117;118,000;0,699
118;119,000;0,710
119;120,000;0,722
120;121,000;0,732
121;122,000;0,743
122;123,000;0,752
123;124,000;0,761
124;125,000;0,770
125;126,000;0,779
126;127,000;0,788
127;128,000;0,796
128;129,000;0,804
129;130,000;0,812
130;131,000;0,820
131;132,000;0,826
132;133,000;0,832
133;134,000;0,839
134;135,000;0,847
135;136,000;0,853
136;137,000;0,859
137;138,000;0,864
138;139,000;0,870
139;140,000;0,875
140;141,000;0,879
141;142,000;0,885
142;143,000;0,891
143;144,000;0,895
144;145,000;0,900
145;146,000;0,904
146;147,000;0,909
147;148,000;0,913
148;149,000;0,917
149;150,000;0,921
150;151,000;0,924
151;152,000;0,928
152;153,000;0,931
153;154,000;0,934
154;155,000;0,937
155;156,000;0,939
156;157,000;0,942
157;158,000;0,945
158;159,000;0,948
159;160,000;0,951
160;161,000;0,954
161;162,000;0,956
162;163,000;0,958
163;164,000;0,961
164;165,000;0,963
165;166,000;0,966
166;167,000;0,967
167;168,000;0,969
168;169,000;0,971
169;170,000;0,973
170;171,000;0,975
171;172,000;0,976
172;173,000;0,978
173;174,000;0,980
174;175,000;0,982
175;176,000;0,983
176;177,000;0,985
177;178,000;0,987
178;179,000;0,988
179;180,000;0,989
180;181,000;0,990
181;182,000;0,991
182;183,000;0,992
183;184,000;0,993
184;185,000;0,994
185;186,000;0,995
186;187,000;0,996
187;188,000;0,996
188;189,000;0,997
189;190,000;0,998
190;191,000;0,999
191;192,000;0,999
192;193,000;1,000
193;194,000;1,000
194;195,000;1,000
195;196,000;1,000
196;197,000;1,000
197;198,000;1,000
198;199,000;1,000
