,taz,x,y
1008995834,Barrio-Dehesa,-3.32986,40.504169
1008995846,Barrio-Dehesa,-3.332817,40.504618
1008995876,Barrio-Dehesa,-3.331286,40.503434
1008995915,Barrio-Dehesa,-3.328573,40.502119
1008995952,Barrio-Dehesa,-3.329879,40.504153
1008995980,Barrio-Dehesa,-3.329842,40.50407
1008996028,Barrio-Dehesa,-3.33068,40.503559
1008996080,Barrio-Dehesa,-3.329752,40.504093
1008996094,Barrio-Dehesa,-3.327646,40.50418
1008996102,Barrio-Dehesa,-3.331713,40.503972
1053029995,,-3.406234,40.497697
1053030017,Alcala,-3.391992,40.492898
1053030024,Alcala,-3.403634,40.489899
1053030065,Alcala,-3.391597,40.493527
1053030071,Alcala,-3.403822,40.494719
1053030078,Alcala,-3.39609,40.482126
1053030081,Alcala,-3.404784,40.487279
1053030086,,-3.404123,40.499642
1053030110,Alcala,-3.379843,40.480551
1053030114,Alcala,-3.374273,40.500231
1053030124,Alcala,-3.405484,40.487221
1053030147,Alcala,-3.376899,40.481888
1053030171,Alcala,-3.396353,40.500223
1053030173,Alcala,-3.379155,40.47989
1053030175,Alcala,-3.405469,40.487511
1053030179,Alcala,-3.400722,40.480865
1053030208,,-3.396276,40.500649
1053030210,Alcala,-3.402951,40.489621
1053030230,,-3.404304,40.497292
1053030251,Alcala,-3.403658,40.489728
1053030253,Alcala,-3.379589,40.479894
1053030257,Alcala,-3.408592,40.487364
1053030264,Alcala,-3.401898,40.49215
1053030267,Alcala,-3.379505,40.480579
1053030313,Alcala,-3.404335,40.488623
1053030317,Alcala,-3.387815,40.492887
1053030329,Alcala,-3.379383,40.479994
1053030334,Alcala,-3.406721,40.489325
1053030338,Alcala,-3.403211,40.489558
1053030358,Alcala,-3.404982,40.487097
1053030366,Alcala,-3.378564,40.481554
1053030369,,-3.404354,40.49875
1053030412,Alcala,-3.379584,40.479717
1053030444,Alcala,-3.379914,40.480678
1053030466,Alcala,-3.378245,40.480631
1053030498,Alcala,-3.401657,40.492863
1053030503,Alcala,-3.379131,40.479805
1053030516,Alcala,-3.405377,40.487587
1053030528,Alcala,-3.379742,40.481318
1053030544,Alcala,-3.404443,40.494738
1053030573,Alcala,-3.401463,40.482506
1053030575,Alcala,-3.379616,40.4798
1053030577,Alcala,-3.403775,40.488877
1053030598,Alcala,-3.378895,40.482453
1053030652,Alcala,-3.403755,40.495156
1053030653,Alcala,-3.382428,40.481981
1053030655,Alcala,-3.396134,40.482204
1053030658,Alcala,-3.378073,40.480112
1053030665,Alcala,-3.380053,40.482205
1053030681,Alcala,-3.379621,40.480838
1060334442,Alcala,-3.358559,40.510196
1060334475,Alcala,-3.370385,40.510999
1060334477,Alcala,-3.368886,40.50972
1060334614,,-3.371746,40.512256
1060334665,Alcala,-3.359032,40.507865
1060334704,Alcala,-3.36945,40.508496
1060334878,Alcala,-3.370103,40.507036
1060334880,Alcala,-3.359633,40.514875
1060334936,Alcala,-3.374479,40.505042
1060334954,,-3.361505,40.518697
1060334985,Alcala,-3.374147,40.504634
1060335027,Alcala,-3.370249,40.507077
1060335067,Alcala,-3.358676,40.510597
1060396420,Barrio-Dehesa,-3.329465,40.502435
1060396424,Barrio-Dehesa,-3.328068,40.503236
1060396434,Barrio-Dehesa,-3.331661,40.507697
1060396436,Barrio-Dehesa,-3.329318,40.502522
1060396444,Barrio-Dehesa,-3.329609,40.50235
1060396447,Barrio-Dehesa,-3.329911,40.502171
1060396449,Barrio-Dehesa,-3.333083,40.504812
1060396450,Barrio-Dehesa,-3.329761,40.50226
1060396452,Barrio-Dehesa,-3.334183,40.505644
1060396454,Barrio-Dehesa,-3.330055,40.502084
1060396474,Barrio-Dehesa,-3.330212,40.501989
1060396477,Barrio-Dehesa,-3.335701,40.505572
1060396479,Barrio-Dehesa,-3.330908,40.50712
1060396499,Barrio-Dehesa,-3.330356,40.501902
1060413909,Alcala,-3.358125,40.496594
1060413912,Alcala,-3.354079,40.497318
1060413931,Alcala,-3.354176,40.497343
1060413938,Alcala,-3.356696,40.493175
1060413939,Alcala,-3.362693,40.495754
1060413951,Alcala,-3.357117,40.496822
1060413957,Barrio-El_Chorrilo,-3.363373,40.495192
1060413965,Alcala,-3.351049,40.501719
1060413973,Alcala,-3.350793,40.50226
1060413982,Alcala,-3.35645,40.492624
1060413983,Alcala,-3.362896,40.495674
1060414014,Barrio-Ensanche,-3.366126,40.4948
1060414034,Barrio-Ensanche,-3.367401,40.50221
1060458624,Alcala,-3.3796,40.476534
1060458670,Alcala,-3.373345,40.478476
1060458687,Alcala,-3.386637,40.492474
1060458690,Alcala,-3.37582,40.477469
1060458717,Alcala,-3.382123,40.475666
1060458728,Alcala,-3.384772,40.493062
1060458730,Alcala,-3.370064,40.483934
1060458780,Alcala,-3.38638,40.490883
1060458789,Alcala,-3.386909,40.492729
1060458794,Alcala,-3.385888,40.491956
1060458804,Alcala,-3.382342,40.475505
1060458848,Alcala,-3.373225,40.478388
1060458860,Alcala,-3.382029,40.475782
1060458882,Alcala,-3.359863,40.477456
1060458884,Barrio-El_Chorrilo,-3.368705,40.484396
1060458886,Alcala,-3.383123,40.491474
1060458932,Alcala,-3.383039,40.475026
1060458983,Alcala,-3.385673,40.491891
1060458986,Casco_Historico,-3.368461,40.483213
1060459004,Alcala,-3.381878,40.475636
1060459050,Alcala,-3.385859,40.492357
1060459063,Alcala,-3.382334,40.475781
1060459065,Alcala,-3.386445,40.491549
1060459073,Alcala,-3.377203,40.477244
1060459090,Alcala,-3.38442,40.490721
1060459098,Alcala,-3.386409,40.491677
1060459110,Alcala,-3.375723,40.47769
1060459185,Alcala,-3.387288,40.492897
1060459190,Alcala,-3.384348,40.490656
1060459217,Alcala,-3.385633,40.490501
1060459231,Alcala,-3.375908,40.477638
1060459258,Casco_Historico,-3.368447,40.483882
1060459261,Alcala,-3.375638,40.477529
1103870912,Alcala,-3.387979,40.503946
1103870932,,-3.388725,40.504878
1103871032,Alcala,-3.386604,40.504356
1103871077,Barrio-Dehesa,-3.325348,40.502235
1103871080,,-3.379103,40.511756
1103871083,,-3.379435,40.513216
1103871105,Alcala,-3.386911,40.504446
1103871118,Alcala,-3.386787,40.504727
1103871190,Alcala,-3.385072,40.502045
1103871200,,-3.3783,40.512479
1103871224,Barrio-Dehesa,-3.32841,40.505014
1103871244,Alcala,-3.38323,40.504248
1103871261,Alcala,-3.386455,40.50464
1103871268,,-3.402408,40.507187
1103871269,,-3.384621,40.507027
1103871278,Alcala,-3.381823,40.501247
1119354809,Alcala,-3.399317,40.496776
1119354811,,-3.397071,40.500831
1119354833,Alcala,-3.399154,40.496736
1119354855,,-3.397908,40.50099
1119354858,,-3.397648,40.500227
1119354878,Alcala,-3.399953,40.494522
1128916645,Alcala,-3.366864,40.504435
1128916650,Alcala,-3.369815,40.502992
1128916662,Alcala,-3.393424,40.499224
1128916664,Alcala,-3.362124,40.505934
1128916666,Alcala,-3.386344,40.496455
1128916715,Alcala,-3.392691,40.498865
1128916716,N-II-Madrid,-3.406852,40.476846
1128916731,Alcala,-3.389536,40.49776
1128916786,Alcala,-3.394874,40.499949
1131520647,,-3.405164,40.5135
1131520662,M-100-Daganzo,-3.403305,40.510015
1131520701,,-3.405117,40.513436
1131520712,Alcala,-3.399811,40.495475
1131520736,,-3.398353,40.502942
1131520758,,-3.397055,40.500863
1131520771,,-3.405078,40.513501
1131520797,Alcala,-3.396498,40.500239
1131520801,,-3.397602,40.501075
1131520804,,-3.405707,40.513258
1131520813,,-3.401616,40.507713
1131520818,,-3.398094,40.503443
1131520851,Alcala,-3.399498,40.492285
1131520853,Alcala,-3.399558,40.496227
1131520913,,-3.397891,40.501035
1131520915,Alcala,-3.398771,40.497874
1131520982,,-3.401027,40.507625
1131520992,Alcala,-3.397497,40.499625
1131520995,,-3.405664,40.513199
1131521027,,-3.399388,40.504542
1131521028,M-100-Daganzo,-3.405758,40.513194
1139411771,,-3.407523,40.518458
1139411796,,-3.407677,40.517886
1165482272,,-3.401857,40.469638
1165482290,Alcala,-3.391995,40.476832
1165482312,Alcala,-3.394803,40.476015
1165482322,,-3.405725,40.468375
1165482325,Alcala,-3.396469,40.475548
1165482327,,-3.400519,40.468144
1165482328,Alcala,-3.393535,40.476372
1195985073,Alcala,-3.408592,40.487434
1195985114,Alcala,-3.404936,40.480987
1195985289,Alcala,-3.396721,40.485168
1195985321,Alcala,-3.395336,40.483409
1195985378,Alcala,-3.395871,40.486012
1195985387,Alcala,-3.401153,40.480932
1195985434,Alcala,-3.395917,40.484128
1195985464,Alcala,-3.396337,40.484601
1195985503,Alcala,-3.396211,40.48451
1195985515,Alcala,-3.394195,40.484913
1195985533,Alcala,-3.401515,40.484833
1195985604,Alcala,-3.396179,40.484606
1195985652,Alcala,-3.395689,40.484837
1195985654,Alcala,-3.397018,40.484347
1195985676,Alcala,-3.40518,40.481116
1195985748,Alcala,-3.396305,40.485614
1195985765,Alcala,-3.395134,40.485077
1222026619,Alcala,-3.381915,40.490187
1222026627,Alcala,-3.363738,40.514338
1222026681,Alcala,-3.364327,40.512313
1222026731,,-3.350684,40.514102
1222026806,Alcala,-3.363937,40.513181
1222026879,Alcala,-3.379697,40.486203
1222026980,Alcala,-3.363692,40.513725
1222027028,Alcala,-3.365139,40.510508
1222027088,Alcala,-3.379746,40.486199
1222027099,Alcala,-3.36186,40.514411
1222027143,Alcala,-3.380286,40.486586
1222027182,Alcala,-3.364253,40.512479
1222027192,Alcala,-3.351321,40.512932
1222027245,Alcala,-3.381542,40.490004
1222027346,Alcala,-3.379828,40.486292
1222027349,Alcala,-3.364221,40.512549
1222027417,Alcala,-3.379706,40.48635
1222027478,,-3.351726,40.514943
1222027483,Alcala,-3.383655,40.483924
1222027487,Barrio-El_Chorrilo,-3.378686,40.489334
1222027498,Alcala,-3.379912,40.486473
1222027585,Alcala,-3.363614,40.51374
1222027606,Alcala,-3.364721,40.511437
1222113312,Barrio-Dehesa,-3.331933,40.506131
1222113344,Barrio-Dehesa,-3.331401,40.506667
1222113359,Barrio-Dehesa,-3.332206,40.507253
1222113361,Barrio-Dehesa,-3.334256,40.505528
1327924822,Alcala,-3.386089,40.492114
1327924827,Alcala,-3.386085,40.492087
1329797915,Barrio-El_Chorrilo,-3.377576,40.491494
1329797916,Barrio-El_Chorrilo,-3.377541,40.493261
1329797917,Barrio-El_Chorrilo,-3.377667,40.492553
1329797919,Barrio-El_Chorrilo,-3.377953,40.491512
1329797930,Barrio-El_Chorrilo,-3.374485,40.488943
1329797940,Barrio-El_Chorrilo,-3.377751,40.491472
1329797941,Barrio-El_Chorrilo,-3.377378,40.492922
1329797942,Barrio-El_Chorrilo,-3.377547,40.491378
1329797945,Barrio-El_Chorrilo,-3.377763,40.491395
1329797950,Barrio-El_Chorrilo,-3.377642,40.491646
1329797954,Barrio-El_Chorrilo,-3.377683,40.493009
1329797966,Barrio-El_Chorrilo,-3.374035,40.488941
1329797971,Barrio-El_Chorrilo,-3.377321,40.491143
1329797972,Barrio-El_Chorrilo,-3.377586,40.492827
1329797979,Barrio-El_Chorrilo,-3.376068,40.490409
1329797982,Barrio-El_Chorrilo,-3.377685,40.49151
1329861964,Alcala,-3.352471,40.504139
1329861968,Alcala,-3.351823,40.504278
1329861982,Alcala,-3.351845,40.504444
1351112710,Barrio-El_Chorrilo,-3.367745,40.489588
1351112711,Barrio-El_Chorrilo,-3.368376,40.490536
1351112712,Barrio-El_Chorrilo,-3.366838,40.489999
1351118605,Barrio-El_Chorrilo,-3.36824,40.488715
1351118606,Barrio-El_Chorrilo,-3.36839,40.488664
1351118607,Barrio-El_Chorrilo,-3.368455,40.489072
1351118608,Barrio-El_Chorrilo,-3.368529,40.488911
1351118609,Barrio-El_Chorrilo,-3.37136,40.489104
1351118610,Barrio-El_Chorrilo,-3.369969,40.488427
1351118611,Barrio-El_Chorrilo,-3.370875,40.488272
1351118612,Barrio-El_Chorrilo,-3.370723,40.488638
1351118613,Barrio-El_Chorrilo,-3.368591,40.489025
1351118614,Barrio-El_Chorrilo,-3.370033,40.488545
1351118615,Barrio-El_Chorrilo,-3.371694,40.48827
1351118616,Barrio-El_Chorrilo,-3.370754,40.489585
1351118617,Barrio-El_Chorrilo,-3.370437,40.488416
1351118618,Barrio-El_Chorrilo,-3.370935,40.489235
1351118620,Barrio-El_Chorrilo,-3.368438,40.490612
1373121160,Alcala,-3.364181,40.48526
1373121191,Barrio-El_Chorrilo,-3.363475,40.485992
1373121198,Barrio-El_Chorrilo,-3.370929,40.488135
1373121208,Barrio-El_Chorrilo,-3.36983,40.488171
1373121212,Barrio-El_Chorrilo,-3.371512,40.488216
1373121217,Barrio-El_Chorrilo,-3.37335,40.488742
1373121225,Barrio-El_Chorrilo,-3.370654,40.488796
1373121229,Barrio-El_Chorrilo,-3.369224,40.490269
1373121238,Alcala,-3.364418,40.490621
1373121277,Alcala,-3.363214,40.493963
1373121279,Barrio-El_Chorrilo,-3.363322,40.493985
1373121445,Barrio-El_Chorrilo,-3.363424,40.495263
1373121469,Barrio-Ensanche,-3.365298,40.495377
1373121542,Alcala,-3.361967,40.495647
1373121566,Alcala,-3.361987,40.495735
1373121636,Alcala,-3.360755,40.495846
1373121668,Alcala,-3.361051,40.495899
1373121678,Alcala,-3.360783,40.49591
1373121701,Barrio-Ensanche,-3.363008,40.495963
1373121704,Alcala,-3.361079,40.495972
1373121706,Barrio-Ensanche,-3.362914,40.495998
1373121720,Alcala,-3.360538,40.496034
1373121724,Barrio-Ensanche,-3.365735,40.496035
1373121744,Alcala,-3.360561,40.496099
1373121757,Barrio-Ensanche,-3.363769,40.496167
1373121762,Barrio-Ensanche,-3.363078,40.496274
1373121785,Barrio-Ensanche,-3.363708,40.497207
1373121809,Barrio-Ensanche,-3.364378,40.497993
1373121814,Barrio-Ensanche,-3.364243,40.498047
1373121837,Barrio-Ensanche,-3.364551,40.498242
1373121839,Barrio-Ensanche,-3.364255,40.498251
1373121846,Barrio-Ensanche,-3.364417,40.498296
1373121862,Barrio-Ensanche,-3.364697,40.498518
1373121865,Barrio-Ensanche,-3.364604,40.498549
1373121868,Barrio-Ensanche,-3.364973,40.499107
1373121899,Barrio-Ensanche,-3.365557,40.500007
1373121931,Barrio-Ensanche,-3.365727,40.500257
1373121936,Barrio-Ensanche,-3.366321,40.501142
1373121937,Barrio-Ensanche,-3.366853,40.501747
1373121946,Barrio-Ensanche,-3.366765,40.501779
1373121955,Barrio-Ensanche,-3.366833,40.501951
1376906268,Alcala,-3.367534,40.513165
1376906270,Alcala,-3.366188,40.511828
1376906275,Barrio-El_Val,-3.345995,40.48986
1376906277,Alcala,-3.369159,40.511566
1376906292,Alcala,-3.336803,40.497681
1376906300,Alcala,-3.362345,40.51276
1376906315,Alcala,-3.362797,40.511752
1376906326,Alcala,-3.351209,40.50075
1376906375,Alcala,-3.354271,40.498297
1376906381,Barrio-El_Val,-3.339782,40.486039
1376906391,Alcala,-3.367111,40.513193
1376906395,Alcala,-3.354053,40.499027
1376906403,DistritoII,-3.353871,40.488481
1376906406,Alcala,-3.35077,40.488473
1376906419,Barrio-El_Val,-3.347125,40.491348
1376906423,Alcala,-3.369691,40.512236
1376906431,Alcala,-3.367157,40.513521
1376906456,Alcala,-3.361877,40.513803
1376906466,Alcala,-3.363465,40.510064
1376906477,Barrio-El_Val,-3.339278,40.489062
1376906479,Alcala,-3.352008,40.497676
1376906482,Alcala,-3.361192,40.511707
1376906485,Alcala,-3.36704,40.513334
1376906489,Alcala,-3.345892,40.495233
1376906493,Barrio-El_Val,-3.346995,40.492089
1376906495,Alcala,-3.370523,40.511937
1376906498,Alcala,-3.369138,40.513225
1376906501,Alcala,-3.341291,40.494111
1376906505,Barrio-El_Val,-3.347424,40.491926
1376906508,Alcala,-3.363135,40.511014
1376906512,Barrio-El_Val,-3.347011,40.489885
1376906516,Alcala,-3.369384,40.51268
1376906522,Alcala,-3.365715,40.512873
1376906536,Alcala,-3.363558,40.510089
1376906550,Alcala,-3.354343,40.498238
1376906559,Alcala,-3.363051,40.512167
1376906562,Barrio-El_Val,-3.341478,40.485578
1376906568,Alcala,-3.362194,40.511936
1376906575,Barrio-El_Val,-3.348563,40.490004
1376906577,Alcala,-3.367348,40.513569
1376906586,Alcala,-3.368209,40.511323
1376906589,Alcala,-3.370318,40.512402
1376906594,Alcala,-3.366987,40.51399
1376906608,Barrio-Dehesa,-3.335803,40.501445
1376906625,Alcala,-3.35571,40.498612
1376906636,Alcala,-3.351875,40.498037
1376906639,DistritoII,-3.352494,40.488133
1376906644,Alcala,-3.367642,40.51334
1376906654,Alcala,-3.369909,40.511775
1376906658,Alcala,-3.368486,40.513051
1376906660,Alcala,-3.346871,40.494839
1376906664,Alcala,-3.368301,40.511347
1376906667,Alcala,-3.367873,40.512277
1376906672,Barrio-El_Val,-3.346053,40.490396
1376906674,Alcala,-3.369806,40.511747
1376906676,Alcala,-3.35513,40.498969
1376906677,Alcala,-3.368735,40.512507
1376906683,Alcala,-3.365684,40.512941
1376906695,Alcala,-3.35444,40.499394
1376906700,Alcala,-3.362581,40.512309
1376906718,Barrio-El_Val,-3.344933,40.485909
1376906721,Alcala,-3.361499,40.514495
1376906737,Alcala,-3.348681,40.495108
1376906742,Alcala,-3.367597,40.51346
1376906753,Alcala,-3.360885,40.512371
1376906757,Alcala,-3.339039,40.496762
1376906760,Alcala,-3.366908,40.514173
1376906780,Alcala,-3.347972,40.502919
1376906789,Alcala,-3.35626,40.498305
1376906792,Barrio-El_Val,-3.342599,40.485238
1376906806,Alcala,-3.363022,40.512229
1376906816,,-3.370228,40.512835
1376906818,Alcala,-3.355318,40.498256
1376906821,,-3.370599,40.513615
1376906826,Barrio-El_Val,-3.345445,40.49027
1376906829,Alcala,-3.367781,40.512253
1376906834,Barrio-El_Val,-3.346702,40.487451
1376906836,Alcala,-3.368228,40.513611
1376906838,,-3.370848,40.51307
1376906844,Alcala,-3.368367,40.510797
1376906853,Alcala,-3.345231,40.499497
1376906860,Alcala,-3.362763,40.511893
1376906869,Alcala,-3.361543,40.514281
1376906879,Barrio-El_Val,-3.344998,40.485994
1376906881,Alcala,-3.394021,40.480874
1376906888,Barrio-El_Val,-3.342184,40.484782
1376906893,Alcala,-3.362299,40.512093
1376906896,Alcala,-3.353671,40.49866
1376906900,Alcala,-3.347621,40.494159
1376906903,Barrio-El_Val,-3.34657,40.48817
1376906911,Barrio-El_Val,-3.347215,40.491527
1376906913,Alcala,-3.367358,40.513112
1376906916,Alcala,-3.362247,40.512733
1376906921,Alcala,-3.337223,40.498396
1376906931,Alcala,-3.350825,40.498823
1376906948,Alcala,-3.362104,40.513804
1376906952,Alcala,-3.352364,40.499559
1376906961,Alcala,-3.352508,40.498113
1376906970,Alcala,-3.366883,40.513253
1376906978,Alcala,-3.369406,40.512631
1376906981,,-3.369947,40.513436
1376906983,Alcala,-3.340865,40.493726
1376906986,Barrio-El_Val,-3.343298,40.492267
1376906988,Alcala,-3.371276,40.512137
