,taz,x,y
100890239,1006,-3.688044,40.437801
100890241,1007,-3.686283,40.437721
100890242,1007,-3.685495,40.437692
100890243,1007,-3.685205,40.437681
100890244,1007,-3.684192,40.437647
100890246,1007,-3.683084,40.437615
100890249,1007,-3.677739,40.437327
100891147,1007,-3.680496,40.437569
100891149,1007,-3.685124,40.437811
100891150,1007,-3.685435,40.437819
100891151,1007,-3.686274,40.437862
100891152,1006,-3.687953,40.437921
100891869,1006,-3.688226,40.437877
100892261,1007,-3.683663,40.43768
1011869670,1005,-3.690608,40.432975
1020485503,,-3.669643,40.434141
1034240551,,-3.668928,40.421435
1085874133,,-3.688491,40.431233
1209330272,,-3.684184,40.421082
1209330305,1000,-3.679831,40.421369
1209330640,,-3.683081,40.421556
1209330717,,-3.672841,40.421298
1209330860,,-3.676009,40.421432
1209330887,,-3.684966,40.420897
1209331443,,-3.674394,40.421333
1209331642,1000,-3.679712,40.421734
1209331707,,-3.669163,40.420879
1209331790,,-3.671067,40.421259
1209331987,1004,-3.689214,40.420049
1209332028,1004,-3.687225,40.420356
1209332387,1004,-3.685945,40.420681
1223809784,,-3.688643,40.430647
1223809785,,-3.689374,40.434971
1223809787,,-3.688373,40.435284
1223809793,1005,-3.688345,40.433107
1223809796,1005,-3.688881,40.433546
1223809798,,-3.689628,40.435204
1223809804,1005,-3.688469,40.433808
1223809808,,-3.689196,40.435142
1223809816,1005,-3.688464,40.43309
1223809817,1005,-3.688321,40.433961
1223809824,,-3.688955,40.430684
1223809828,1006,-3.688467,40.435456
1223809830,,-3.689068,40.430698
1223809841,1005,-3.689087,40.434116
1223809843,1005,-3.688207,40.4341
1223809845,,-3.689381,40.430734
1223809847,1005,-3.688829,40.433078
1278838937,,-3.688089,40.424181
1278838994,1003,-3.690179,40.425541
1278839005,,-3.687687,40.425378
1278839025,,-3.688276,40.424016
1278839038,1003,-3.690239,40.425401
1278839042,1003,-3.689815,40.425441
1278839071,1003,-3.690331,40.425916
1278839131,1003,-3.690379,40.424418
1278839146,,-3.687826,40.425582
1359796755,1006,-3.689926,40.437514
