,taz,x,y
1046902466,,-3.664344,40.509014
1046902489,,-3.663175,40.508199
1046902497,,-3.664685,40.509129
1046902626,,-3.662059,40.507275
1046902641,,-3.670988,40.51411
1046902645,,-3.664191,40.508002
1046902743,1005,-3.671464,40.514733
1046902958,,-3.659392,40.503515
1046903014,,-3.676064,40.510724
1046903019,,-3.67072,40.513741
1046903085,,-3.671028,40.514163
1046903138,,-3.661951,40.5072
1046903220,,-3.664399,40.509515
1121592035,1001,-3.666469,40.496239
1121592048,1001,-3.66617,40.4965
1138794812,1001,-3.666424,40.495733
1163944655,,-3.66514,40.511906
1163944857,,-3.661584,40.498766
1163944877,1000,-3.663077,40.502904
1163944955,1000,-3.659451,40.50212
1163945218,1000,-3.659155,40.502463
1163945436,1000,-3.663203,40.502735
1163945557,,-3.665894,40.512531
1163945645,,-3.661081,40.499096
1163945649,1000,-3.661337,40.501232
1168639710,,-3.666909,40.511751
1168640513,,-3.656613,40.504559
1168640993,,-3.656444,40.503522
1168641093,,-3.654994,40.503214
1449224633,,-3.658949,40.495749
1449224634,,-3.660694,40.495777
1449224671,,-3.659587,40.496801
1449224674,,-3.657725,40.496873
1449224686,,-3.659303,40.497064
1449224744,,-3.65873,40.497596
1449224775,,-3.658332,40.497953
1449224810,,-3.656949,40.49816
1449224877,,-3.656596,40.498632
1449224884,,-3.656689,40.498693
146546639,,-3.654679,40.514323
146546647,,-3.653651,40.514789
146546650,,-3.652352,40.515153
1502299170,,-3.664583,40.51789
1628059727,1001,-3.668245,40.49532
1746590484,,-3.65198,40.511142
1746590521,,-3.654844,40.513048
1903719973,,-3.653599,40.515311
2041851339,,-3.680277,40.507555
2041851340,,-3.68057,40.507673
2068844703,,-3.677797,40.513582
2068844760,1002,-3.661602,40.515103
2068844766,1002,-3.66204,40.515401
2068844776,1005,-3.671622,40.51568
2068844786,1005,-3.670652,40.515816
2068844790,1005,-3.671249,40.515815
2068844792,1005,-3.670963,40.515839
2089433540,1000,-3.660384,40.501202
2089433541,1001,-3.665281,40.49664
2089433553,,-3.656709,40.498988
2089433564,1000,-3.66092,40.500583
2089433593,,-3.654868,40.514051
2089433605,,-3.653499,40.514832
2089433606,,-3.653745,40.514944
2089433608,,-3.654687,40.515169
2089433624,,-3.654197,40.51574
2089433638,,-3.651965,40.51759
2089433640,,-3.651968,40.517737
2089433641,,-3.653,40.517783
21282011,,-3.652136,40.508109
21702320,1004,-3.659527,40.5092
21702324,1004,-3.65784,40.510301
21702327,,-3.662998,40.510036
21702330,1004,-3.660718,40.509171
21702334,,-3.656797,40.512195
21702336,,-3.655321,40.513965
21702337,,-3.656417,40.513254
21702341,1004,-3.658624,40.510889
21702343,1004,-3.65946,40.510307
21702346,,-3.661515,40.510286
21702350,,-3.665211,40.511854
21702355,,-3.665962,40.512485
21702356,,-3.666989,40.513422
21702362,,-3.674046,40.517975
21702482,1005,-3.674087,40.517768
21702483,1005,-3.672851,40.517203
21713991,,-3.652921,40.517191
221310551,,-3.661305,40.510465
221313799,1002,-3.659756,40.513353
221313800,1002,-3.665235,40.517349
221333227,1000,-3.658381,40.500271
221333228,1000,-3.658384,40.50053
221333230,1000,-3.658598,40.50069
221333246,,-3.653811,40.497156
221333301,,-3.653662,40.497295
221333305,,-3.653907,40.497712
2248941009,,-3.666262,40.500237
2248941013,,-3.669612,40.500489
2248941018,,-3.669725,40.500574
2248941021,,-3.666921,40.501314
2248941036,,-3.666355,40.501487
2248941045,,-3.666174,40.501552
239716724,1002,-3.659722,40.513893
239736431,1002,-3.664609,40.512982
2415419408,,-3.678489,40.510088
2415419430,,-3.679853,40.513043
2415419437,,-3.678434,40.513403
