,taz,x,y
1209330272,1003,-3.684184,40.421082
1209330640,1003,-3.683081,40.421556
1209330887,1003,-3.684966,40.420897
1209332387,,-3.685945,40.420681
1278838932,,-3.690845,40.423423
1278838937,,-3.688089,40.424181
1278838975,1000,-3.690727,40.425133
1278838976,,-3.690995,40.423467
1278838994,1000,-3.690179,40.425541
1278839005,1001,-3.687687,40.425378
1278839019,,-3.691112,40.423498
1278839025,,-3.688276,40.424016
1278839038,1000,-3.690239,40.425401
1278839042,1000,-3.689815,40.425441
1278839084,1000,-3.690856,40.425045
1278839092,1000,-3.691192,40.425501
1278839131,1000,-3.690379,40.424418
1278839146,1001,-3.687826,40.425582
1493669240,1000,-3.68989,40.425749
1505184312,1002,-3.680046,40.421843
1505184313,1002,-3.680298,40.422537
1505184314,1002,-3.680603,40.422632
1505184315,1002,-3.67997,40.422902
1505184316,1002,-3.680339,40.4229
1505184318,1002,-3.680291,40.423453
1505184320,1002,-3.68007,40.42357
1505184321,1002,-3.680439,40.423587
1505184322,1002,-3.680224,40.423713
1505184323,1002,-3.680317,40.423724
1505184324,1002,-3.680161,40.424461
1505184326,,-3.680144,40.424673
1505184327,1001,-3.680131,40.424821
1505184328,1001,-3.680228,40.42483
1505184329,1001,-3.679883,40.42499
1505184330,1001,-3.680116,40.425001
1505184331,1001,-3.680417,40.425014
1505184332,1001,-3.680103,40.425155
1505184334,1001,-3.680201,40.425163
1555729951,,-3.688211,40.422525
1555729961,1001,-3.687732,40.42538
1555729967,,-3.688001,40.42396
1555729985,1004,-3.688394,40.421183
171946,1003,-3.684454,40.421253
1760085654,1000,-3.690711,40.425693
1854720781,,-3.686336,40.420594
1900998825,,-3.688309,40.421807
1900998827,,-3.688458,40.421813
1915012227,1000,-3.690593,40.424347
1915012228,1000,-3.690682,40.424374
1915012230,1000,-3.690172,40.42451
1950481105,,-3.684247,40.423655
1950481115,1001,-3.681504,40.425188
1950481116,1001,-3.684368,40.425198
1950481121,1001,-3.68659,40.425207
1950481125,1001,-3.686474,40.425306
1950481126,1001,-3.6841,40.425372
1950481127,1001,-3.686557,40.425455
1957490899,1002,-3.679941,40.421345
1963430768,,-3.682897,40.423595
1963430771,1001,-3.682767,40.425255
1973690386,,-3.684404,40.423767
1973690392,,-3.687964,40.423957
1973690393,,-3.686747,40.424029
1981925766,,-3.683049,40.42372
1981925767,1001,-3.685385,40.425127
1981925770,1001,-3.685352,40.425396
2005647264,,-3.687267,40.420495
20953243,,-3.685237,40.420644
20953244,1003,-3.68444,40.420802
21527321,1002,-3.679958,40.421594
21627170,1003,-3.683026,40.421349
21627306,1003,-3.682705,40.421369
2377018002,1001,-3.68791,40.425107
2383701843,1003,-3.684966,40.420821
2383701844,1003,-3.684394,40.420951
2383701845,1003,-3.683023,40.421519
2383701846,1002,-3.679988,40.421681
2383701847,,-3.681594,40.422172
2383701848,1002,-3.680344,40.422742
2506473177,1003,-3.682249,40.421288
2506473199,1004,-3.688651,40.420563
255289006,,-3.681748,40.422203
255289007,,-3.683018,40.422265
255522956,,-3.681894,40.42126
25552412,1003,-3.682846,40.421618
25552416,1001,-3.680214,40.425006
25552418,1001,-3.681515,40.42506
25552421,1001,-3.682781,40.425107
25552423,1001,-3.684123,40.425186
25552425,1001,-3.685369,40.425249
25552446,1001,-3.686577,40.425311
25552447,1001,-3.687864,40.42539
25552448,1001,-3.688085,40.425461
25552449,1000,-3.689205,40.425568
