# Generated by mutraff_edges_csv.py , by alvaro.paricio@uah.es
id,lat,long
-100851682,1165482312,1165482328
-100851688,1165482328,1165482290
-100851690,1165482325,1165482312
-100851695,1165482322,1165482272
-103584157,311472409,1195985289
-103584164,1195985748,1195985652
-103584211#0,311472492,1195985503
-103584211#1,1195985434,311472492
-103584211#2,311472507,1195985434
-103584211#3,311472515,311472507
-103584211#4,1195985321,311472515
-103584211#5,259133913,1195985321
-103584239,1195985378,1195985765
-106134323,259253756,1222027143
-106134328,1222027487,259133885
-106134330#0,370533487,259253756
-106134330#1,886712383,370533487
-106134332#0,1376907087,637775621
-106134332#1,1222027099,1376907087
-106134332#2,1222026627,1222027099
-106134336,259133885,370533589
-106134345#0,1376906721,1060334880
-106134345#1,2027136248,1376906721
-106134345#2,637775621,2027136248
-106134346,1222027483,886635730
-106134372,1222027143,1222027498
-106134392#0,259133886,1222027487
-106134392#1,370869888,259133886
-106134392#2,370870032,370869888
-106147508,1222113359,1222113344
-116231961#0,259860442,1060413965
-116231961#1,259860452,259860442
-117976252#0,3569789609,1060458687
-117976252#1,1060458789,3569789609
-118195325#0,2565206252,1329797917
-118195325#1,1329797950,2565206252
-118195327#0,3770784530,1329797971
-118195327#1,370869769,3770784530
-118195327#2,3770784501,370869769
-118195327#3,3770784498,3770784501
-118195327#4,370869748,3770784498
-118195327#5,1329797979,370869748
-118195328#0,302332271,259133783
-118195328#1,3770784725,302332271
-118195328#2,259133785,3770784725
-118201157,259719734,311296898
-118201163#0,259718093,1373121868
-118201163#1,259717973,259718093
-118201170#0,259719741,259719734
-118201170#1,259719743,259719741
-118201170#2,2633066502,259719743
-118201170#3,2337259685,2633066502
-120509978,1351112710,1351112712
-120510394,1351118617,1351118611
-120510395,1351118606,1351118608
-120510396,1351118617,1351118612
-120510397,1351112711,1351118620
-123021275,1351118613,1351118607
-123021276,1351118608,1351118610
-123021280#0,2606197606,258850724
-123021280#1,1373121191,2606197606
-123021280#2,1373121160,1373121191
-123021280#3,311296886,1373121160
-123483728#0,259094459,422979392
-123483728#1,259094461,259094459
-123483728#2,1376906888,259094461
-123483728#3,311421892,1376906888
-123483728#4,259134202,311421892
-123483740#0,1376906395,1376906896
-123483740#1,1376906695,1376906395
-123483741,1376907321,1376907481
-123483753#0,1376906981,1376907323
-123483753#1,1376907021,1376906981
-123483753#2,1376906816,1376907021
-123483753#3,1376907252,1376906816
-123483753#4,1376907155,1376907252
-123483754#0,1376907397,1376907434
-123483754#1,1376906550,1376907397
-123483754#2,1376906375,1376906550
-123483754#3,1376906896,1376906375
-123483754#4,370868996,1376906896
-123483762#0,1376906594,1376906431
-123483762#1,1376906760,1376906594
-123483762#2,1376907185,1376906760
-123483762#3,1222026627,1376907185
-123483779,1376907339,1376906275
-123483783#0,1376907260,1376907047
-123483783#1,1376906375,1376907260
-123483789,1376907467,1376906403
-123483790,991966702,991966639
-123483798#0,1376907490,1376906493
-123483798#1,1376906826,1376907490
-123483817#0,1376906589,1376906495
-123483817#1,1376906816,1376906589
-123483820,1376907216,1376906477
-123483821#0,1376907351,1376907185
-123483821#1,2027136224,1376907351
-123483821#2,1376906683,2027136224
-123483821#3,1376906522,1376906683
-123483821#4,2027136203,1376906522
-123483821#5,1376906270,2027136203
-123483821#6,2027136075,1376906270
